"id","fqdn/ip","port","severity","finding","cve","cwe"
"HSTS","nicolasnosal.fr/109.234.164.68","443","LOW","not offered","",""
"HPKP","nicolasnosal.fr/109.234.164.68","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","nicolasnosal.fr/109.234.164.68","443","INFO","o2switch-PowerBoost-v3","",""
"banner_application","nicolasnosal.fr/109.234.164.68","443","INFO","No application banner found","",""
"cookie_count","nicolasnosal.fr/109.234.164.68","443","INFO","0 at '/'","",""
"security_headers","nicolasnosal.fr/109.234.164.68","443","MEDIUM","--","",""
"banner_reverseproxy","nicolasnosal.fr/109.234.164.68","443","INFO","--","","CWE-200"
"heartbleed","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","nicolasnosal.fr/109.234.164.68","443","OK","supported","","CWE-310"
"secure_client_renego","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","nicolasnosal.fr/109.234.164.68","443","MEDIUM","potentially VULNERABLE, br gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","nicolasnosal.fr/109.234.164.68","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","nicolasnosal.fr/109.234.164.68","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=9AAF039E3B18355EDD9CFBED3B06BBD105B7DE13549BB17C5975F0493F2D83B5","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","nicolasnosal.fr/109.234.164.68","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","nicolasnosal.fr/109.234.164.68","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","nicolasnosal.fr/109.234.164.68","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
